user,label
Train_00000,0
Train_00001,1
Train_00002,0
Train_00003,0
Train_00004,0
Train_00005,0
Train_00006,0
Train_00007,0
Train_00008,0
Train_00009,0
Train_00010,1
Train_00011,0
Train_00012,0
Train_00013,0
Train_00014,1
Train_00015,1
Train_00016,0
Train_00017,0
Train_00018,1
Train_00019,0
Train_00020,0
Train_00021,0
Train_00022,0
Train_00023,0
Train_00024,0
Train_00025,1
Train_00026,0
Train_00027,1
Train_00028,0
Train_00029,0
Train_00030,0
Train_00031,0
Train_00032,0
Train_00033,1
Train_00034,0
Train_00035,0
Train_00036,1
Train_00037,0
Train_00038,0
Train_00039,0
Train_00040,1
Train_00041,0
Train_00042,1
Train_00043,0
Train_00044,0
Train_00045,1
Train_00046,1
Train_00047,1
Train_00048,0
Train_00049,0
Train_00050,0
Train_00051,0
Train_00052,0
Train_00053,1
Train_00054,0
Train_00055,0
Train_00056,1
Train_00057,0
Train_00058,0
Train_00059,0
Train_00060,0
Train_00061,0
Train_00062,0
Train_00063,0
Train_00064,0
Train_00065,1
Train_00066,0
Train_00067,1
Train_00068,0
Train_00069,0
Train_00070,0
Train_00071,1
Train_00072,0
Train_00073,0
Train_00074,0
Train_00075,1
Train_00076,0
Train_00077,0
Train_00078,1
Train_00079,1
Train_00080,0
Train_00081,0
Train_00082,0
Train_00083,0
Train_00084,0
Train_00085,0
Train_00086,0
Train_00087,0
Train_00088,0
Train_00089,1
Train_00090,1
Train_00091,0
Train_00092,0
Train_00093,0
Train_00094,0
Train_00095,0
Train_00096,0
Train_00097,1
Train_00098,0
Train_00099,0
Train_00100,0
Train_00101,0
Train_00102,0
Train_00103,0
Train_00104,0
Train_00105,0
Train_00106,0
Train_00107,0
Train_00108,1
Train_00109,1
Train_00110,0
Train_00111,1
Train_00112,1
Train_00113,0
Train_00114,0
Train_00115,1
Train_00116,1
Train_00117,0
Train_00118,0
Train_00119,0
Train_00120,1
Train_00121,0
Train_00122,0
Train_00123,0
Train_00124,0
Train_00125,0
Train_00126,1
Train_00127,0
Train_00128,0
Train_00129,1
Train_00130,0
Train_00131,1
Train_00132,0
Train_00133,0
Train_00134,0
Train_00135,1
Train_00136,0
Train_00137,0
Train_00138,0
Train_00139,1
Train_00140,0
Train_00141,0
Train_00142,0
Train_00143,0
Train_00144,0
Train_00145,0
Train_00146,0
Train_00147,1
Train_00148,0
Train_00149,1
Train_00150,0
Train_00151,0
Train_00152,0
Train_00153,0
Train_00154,0
Train_00155,0
Train_00156,0
Train_00157,0
Train_00158,0
Train_00159,1
Train_00160,0
Train_00161,0
Train_00162,0
Train_00163,0
Train_00164,1
Train_00165,1
Train_00166,0
Train_00167,1
Train_00168,0
Train_00169,0
Train_00170,1
Train_00171,0
Train_00172,0
Train_00173,0
Train_00174,0
Train_00175,0
Train_00176,0
Train_00177,0
Train_00178,0
Train_00179,0
Train_00180,0
Train_00181,0
Train_00182,0
Train_00183,0
Train_00184,0
Train_00185,0
Train_00186,0
Train_00187,1
Train_00188,0
Train_00189,0
Train_00190,0
Train_00191,0
Train_00192,1
Train_00193,0
Train_00194,0
Train_00195,0
Train_00196,1
Train_00197,0
Train_00198,0
Train_00199,1
Train_00200,0
Train_00201,1
Train_00202,0
Train_00203,0
Train_00204,0
Train_00205,0
Train_00206,0
Train_00207,0
Train_00208,0
Train_00209,1
Train_00210,0
Train_00211,0
Train_00212,0
Train_00213,0
Train_00214,0
Train_00215,1
Train_00216,0
Train_00217,0
Train_00218,0
Train_00219,0
Train_00220,0
Train_00221,1
Train_00222,1
Train_00223,0
Train_00224,0
Train_00225,1
Train_00226,0
Train_00227,0
Train_00228,0
Train_00229,0
Train_00230,1
Train_00231,1
Train_00232,0
Train_00233,0
Train_00234,0
Train_00235,1
Train_00236,0
Train_00237,1
Train_00238,1
Train_00239,0
Train_00240,0
Train_00241,0
Train_00242,0
Train_00243,0
Train_00244,0
Train_00245,0
Train_00246,1
Train_00247,0
Train_00248,0
Train_00249,0
Train_00250,0
Train_00251,0
Train_00252,0
Train_00253,1
Train_00254,0
Train_00255,0
Train_00256,0
Train_00257,0
Train_00258,0
Train_00259,1
Train_00260,0
Train_00261,0
Train_00262,0
Train_00263,0
Train_00264,0
Train_00265,0
Train_00266,1
Train_00267,0
Train_00268,0
Train_00269,0
Train_00270,0
Train_00271,0
Train_00272,0
Train_00273,0
Train_00274,1
Train_00275,0
Train_00276,1
Train_00277,0
Train_00278,1
Train_00279,0
Train_00280,0
Train_00281,0
Train_00282,1
Train_00283,0
Train_00284,1
Train_00285,1
Train_00286,0
Train_00287,0
Train_00288,0
Train_00289,1
Train_00290,0
Train_00291,0
Train_00292,0
Train_00293,0
Train_00294,1
Train_00295,0
Train_00296,0
Train_00297,0
Train_00298,1
Train_00299,0
Train_00300,0
Train_00301,1
Train_00302,1
Train_00303,0
Train_00304,0
Train_00305,0
Train_00306,0
Train_00307,1
Train_00308,0
Train_00309,1
Train_00310,0
Train_00311,0
Train_00312,0
Train_00313,1
